TS,X,Y,Z,Activity
1569902139444,-0.45550537,7.9164276,1.3383636,WALKING
1569902139463,-7.1329346,15.108017,-2.6767273,WALKING
1569902139484,-9.742004,19.51036,-1.4101868,WALKING
1569902139503,-5.0739136,11.141418,1.7794952,WALKING
1569902139523,-0.006591797,7.0257874,3.2704773,WALKING
1569902139544,4.1922455,6.202179,-0.17897034,WALKING
1569902139563,2.8832245,8.5915985,-0.2819214,WALKING
1569902139584,-2.5462341,9.521149,-0.2059021,WALKING
1569902139603,-3.542221,8.363541,-1.8309631,WALKING
1569902139624,-1.477829,8.392883,0.20111084,WALKING
1569902139643,-0.84994507,8.741837,1.0773926,WALKING
1569902139663,-2.0344696,8.273773,1.2898865,WALKING
1569902139683,-3.3500977,8.189377,0.35554504,WALKING
1569902139703,-2.6282349,8.040329,0.51356506,WALKING
1569902139723,-1.3257904,8.6783905,0.8607178,WALKING
1569902139744,-0.9924011,8.900452,0.74879456,WALKING
1569902139763,-0.93792725,8.610748,0.17956543,WALKING
1569902139783,-0.97265625,9.557663,-0.2807312,WALKING
1569902139803,-1.6130981,11.0672,-0.69851685,WALKING
1569902139823,-2.6821136,12.096115,-1.6370392,WALKING
1569902139843,-1.7567444,13.4422455,0.6093292,WALKING
1569902139864,-0.81044006,13.277649,3.6577454,WALKING
1569902139883,-1.3605042,11.507141,2.5635986,WALKING
1569902139903,-3.6565552,15.177444,1.4556732,WALKING
1569902139923,-4.9667664,15.163681,1.699295,WALKING
1569902139943,-3.1453857,11.876434,-0.29689026,WALKING
1569902139963,-0.3495636,10.543472,-2.7641144,WALKING
1569902139983,1.1163025,11.893799,-2.3104095,WALKING
1569902140002,0.723053,15.273224,0.49978638,WALKING
1569902140022,0.82899475,15.948975,2.0703888,WALKING
1569902140042,0.9062042,16.033371,4.0216675,WALKING
1569902140062,0.8517456,14.800949,0.9792328,WALKING
1569902140082,-0.46865845,11.950668,0.01676941,WALKING
1569902140102,-4.4568024,9.526535,-1.8094177,WALKING
1569902140122,-3.3925934,6.9114685,-1.3545227,WALKING
1569902140143,0.82839966,4.681259,-0.27174377,WALKING
